Year,Sheep,Breeding_sheep,Lambs_tailed_marked,Dairy_cattle,Milking_dairy_cows,Beef_cattle,Breeding_beef_cows,Deer
2006,1086984,808854,888937,49791,39621,149107,51935,25316
2007,1199370,865862,977172,59322,47619,153788,53153,23261
2008,988291,767283,902972,63226,47323,133279,46115,23699
2009,904670,666020,738382,61195,48524,123801,42459,19622
2010,866925,634694,735460,67452,53959,125319,45562,16030
2011,818937,612353,711263,73848,55612,123838,41549,15716
2012,910776,661274,782918,85800,67025,130630,43784,12235
2013,875248,621059,794246,86294,69190,123098,40737,12225
2014,730717,514591,616673,74331,60826,97206,33674,7312
2015,906301,619767,741251,95833,72758,113172,39743,8795
